term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
IL-12R_beta_2_subunit_lex	G#protein_subunit	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	109.0	-0.0003006374064651318	0.0005	0.0005	-0.0002509284794403044
IL-12R_complex_lex	G#protein_complex	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	138.0	-0.0003806235054338858	0.0005	0.0005	-0.0002509284794403044
IL-12R_lex	G#protein_molecule	amino_acid	3	6	6.502290170873972	11.009194062051987	inf	2.0	265.66666666666663	-0.0012963264315457579	0.0015	0.0015	0.6923393477658024
IL-12_expression_lex	G#other_name	other	3	6	6.502290170873972	11.009194062051987	inf	2.0	289.3333333333333	-0.0013763125305127355	0.001	0.001	0.6923393477658024
IL-12_heterodimer_lex	G#protein_complex	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	174.0	-0.0004799165938059735	0.0005	0.0005	-0.0002509284794403044
IL-12_induced_developmental_stage_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	193.0	-0.0005323212793374443	0.0005	0.0005	-0.0002509284794403044
IL-12_induction_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	304.0	-0.0008384749684903214	0.0005	0.0	-0.0002509284794403044
IL-12_lex	G#protein_molecule	amino_acid	25	132	4.382026634673881	7.918151608693672	inf	5.28	1098.76	-0.012872245651102343	0.01	0.011	1.6570853256768823
IL-12_production_lex	G#other_name	other	3	7	6.502290170873972	10.85504338222473	544.3824179724453	2.3333333333333335	402.66666666666663	-0.0014259590747009998	0.0015	0.0005	0.8464900275930596
IL-12_receptor_(IL-12R)_beta_2_subunit_lex	G#protein_subunit	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	109.0	-0.0003006374064651318	0.0	0.0	-0.0002509284794403044
IL-12_receptor_lex	G#protein_molecule	amino_acid	2	2	6.907755278982137	12.107806350720098	0.688948203990155	1.0	177.5	-0.0009791401770179453	0.001	0.001	-0.0005316994476203263
IL-12_responsiveness_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	193.0	-0.0005323212793374443	0.0005	0.0005	-0.0002509284794403044
