term	sem	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
heat		6	6	5.521460917862246	10.765835870166102	0.6319033385542091	1.0	189.0	-0.003989502051041871	0.0	0.0	-0.002412011328436492
heath		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	222.0	-0.0007810136290413716	0.0	0.0	-0.00037109537055890485
heavily		2	2	6.620073206530356	11.864448158834211	0.6882992011353551	1.0	226.0	-0.001590171893361303	0.0	0.0	-0.0007863968983841119
heavy		11	21	4.915325114291931	9.513072901670734	490.8807225061066	1.9090909090909092	512.0	-0.00976267036299694	0.0	0.0	0.642189014055452
heavyexposed		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	339.0	-0.0011926289200218099	0.0	0.0	-0.00037109537055890485
height		3	3	6.214608098422191	11.458983050726047	0.6738944919002972	1.0	274.3333333333333	-0.002895379354504013	0.0	0.0	-0.0011948825407888108
heightened		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	193.0	-0.0006789893261475166	0.0	0.0	-0.00037109537055890485
heinz		1	4	7.313220387090301	11.171300978274266	inf	4.0	740.0	-0.0006508446908671806	0.0	0.0	1.385923265749332
hek293		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	257.0	-0.0009041464083932027	0.0	0.0	-0.00037109537055890485
held		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	212.0	-0.0007458328349400078	0.0	0.0	-0.00037109537055890485
helfb		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	135.0	-0.0004749407203621381	0.0	0.0	-0.00037109537055890485
helodermin_lex	chemical	1	5	7.313220387090301	10.948157426960055	inf	5.0	840.0	-0.0005910373408948288	0.0006666666666666	0.0006666666666666	1.6090668170635425
help		14	14	4.674163057475043	9.918538009778898	0.5286972316713193	1.0	185.2142857142857	-0.009122379910360912	0.0	0.0	-0.005655675015274753
helpful		8	8	5.233778845410465	10.47815379771432	0.6049173612640756	1.0	205.375	-0.00578020447077654	0.0	0.0	-0.003222196955567469
helps		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	309.0	-0.0010870865377182737	0.0	0.0	-0.00037109537055890485
hem_lex	disease	1	4	7.313220387090301	11.171300978274266	inf	4.0	956.0	-0.0008408209790116139	0.0006666666666666	0.0	1.385923265749332
hematest		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	271.0	-0.0009533995201356227	0.0	0.0	-0.00037109537055890485
hematocrit		3	4	6.214608098422191	11.171300978274266	73.97787727412738	1.3333333333333333	280.66666666666663	-0.0023887759194511915	0.0	0.0	0.28648718991099287
hematologic		9	13	5.115995809754082	9.99264598193262	103.36712099769642	1.4444444444444444	364.0	-0.007887534037420041	0.0	0.0	0.364097394075543
hematologic_disturbances_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	271.0	-0.0009533995201350676	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematologic_malignancies_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048936	1.0	139.0	-0.0004890130380020841	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematologic_syndrome_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	271.0	-0.0009533995201350676	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematologic_toxicities_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	187.0	-0.0006578808496863209	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematologic_toxicity_lex	disease	2	3	6.620073206530356	11.458983050726047	120.36321673956914	1.5	346.5	-0.0015198103051594636	0.0013333333333333	0.0013333333333333	0.4046787112097796
hematological		3	3	6.214608098422191	11.458983050726047	0.6738944919003005	1.0	175.33333333333331	-0.0018505097697079087	0.0	0.0	-0.0011948825407888108
hematological_abnormalities_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	158.0	-0.0005558565467955745	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematological_disorders_lex	disease	2	2	6.620073206530356	11.864448158834211	0.6882992011353585	1.0	156.5	-0.0011011588553592189	0.0013333333333333	0.0013333333333333	-0.0007863968983841119
hematological_malignancies_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	287.0	-0.0010096887906965168	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
hematologically		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	185.0	-0.0006508446908671806	0.0	0.0	-0.00037109537055890485
